company,round1_layoffs,round2_layoffs,headcount_difference,round1_date,round2_date
Amazon,150,10000,9850,2022-10-28,2022-11-16
Better.com,900,3000,2100,2021-12-01,2022-03-08
Philips,4000,6000,2000,2022-10-24,2023-01-30
PayPal,83,2000,1917,2022-05-23,2023-01-31
Crypto.com,260,2000,1740,2022-06-10,2022-10-06
Stripe,50,1000,950,2022-08-19,2022-11-03
Wayfair,870,1750,880,2022-08-19,2023-01-20
OneTrust,150,950,800,2020-04-09,2022-06-09
Rivian,40,840,800,2020-06-02,2022-07-27
Twilio,800,1500,700,2022-09-14,2023-02-13
Infarm,50,500,450,2022-09-14,2022-11-28
Robinhood,340,713,373,2022-04-26,2022-08-02
Gopuff,100,450,350,2022-01-26,2022-03-29
Playtika,250,600,350,2022-05-31,2022-12-09
Swiggy,800,1100,300,2020-04-21,2020-05-18
Nuro,7,300,293,2022-07-13,2022-11-18
Ebanx,62,340,278,2020-05-27,2022-06-21
Okta,24,300,276,2022-08-26,2023-02-02
Wix,100,370,270,2022-08-09,2023-02-15
Zendesk,80,350,270,2022-08-04,2022-11-07
Splunk,70,325,255,2020-06-16,2023-02-01
Sema4,250,500,250,2022-08-15,2022-11-14
Gorillas,300,540,240,2022-05-24,2022-07-03
Redfin,236,470,234,2020-04-07,2022-06-14
Upstart,140,365,225,2022-11-01,2023-01-31
Vedantu,200,424,224,2022-05-05,2022-05-18
Cue,170,388,218,2022-06-27,2023-01-05
Kry,100,300,200,2022-05-17,2022-10-31
Udaan,180,350,170,2022-06-27,2022-11-04
Snyk,30,198,168,2022-06-30,2022-10-24
LivePerson,30,193,163,2020-11-01,2022-09-15
"Beyond Meat",40,200,160,2022-08-03,2022-10-14
Katerra,240,400,160,2020-04-02,2020-06-29
Innovaccer,90,245,155,2022-09-01,2023-01-24
SoundHound,45,200,155,2022-11-10,2023-01-05
Intel,201,343,142,2022-12-06,2023-01-30
Neon,70,210,140,2020-04-13,2023-02-15
"New Relic",20,160,140,2020-06-29,2021-04-06
RenoRun,70,210,140,2022-08-04,2022-10-27
Fundbox,14,150,136,2020-06-02,2022-10-25
TaskUs,52,186,134,2022-06-21,2023-02-22
Pollen,69,200,131,2020-05-19,2022-05-10
Netflix,25,150,125,2022-04-28,2022-05-17
Pipedrive,31,143,112,2020-05-05,2022-11-14
Hopin,138,242,104,2022-02-10,2022-07-11
Cybereason,100,200,100,2022-06-01,2022-10-26
Flyhomes,200,300,100,2022-07-20,2022-11-09
"Vox Media",39,130,91,2022-07-27,2023-01-20
OneFootball,62,150,88,2022-12-09,2023-02-23
Unity,200,284,84,2022-06-29,2023-01-17
"Velodyne Lidar",140,220,80,2020-04-03,2023-02-24
GoDaddy,451,530,79,2020-06-24,2023-02-08
TripleLift,23,100,77,2020-04-02,2023-02-10
Compass,375,450,75,2020-03-23,2022-06-14
Brex,62,136,74,2020-05-29,2022-10-11
Clutch,76,150,74,2022-06-29,2023-01-17
QuintoAndar,88,160,72,2020-04-17,2022-04-19
Hubilo,45,115,70,2022-07-12,2023-01-19
Vroom,270,337,67,2022-05-09,2022-08-08
Clearco,60,125,65,2022-06-06,2022-07-29
AvantStay,80,144,64,2022-06-29,2022-11-09
Electric,81,141,60,2022-08-30,2023-02-13
Unico,50,110,60,2022-10-24,2023-01-17
Zilingo,44,100,56,2020-04-17,2020-07-09
"Komodo Health",23,78,55,2020-04-20,2022-12-13
ThirdLove,10,65,55,2020-03-27,2020-04-02
Alice,63,113,50,2022-07-11,2022-12-09
"Argo AI",100,150,50,2020-06-29,2022-07-07
"Chipper Cash",50,100,50,2022-12-06,2023-02-17
"Integral Ad Science",70,120,50,2020-05-14,2022-12-07
Sprinklr,50,100,50,2022-06-22,2023-02-15
WeWork,250,300,50,2020-03-28,2020-04-29
Skillz,21,70,49,2020-04-14,2022-05-20
"Lambda School",19,65,46,2020-04-21,2021-04-29
SalesLoft,55,100,45,2020-05-07,2023-02-07
"Aqua Security",24,65,41,2020-04-01,2022-12-05
IronNet,55,90,35,2022-06-22,2022-06-22
Socure,69,104,35,2022-06-17,2023-01-05
Gokada,20,54,34,2022-11-14,2023-01-31
