company,current_layoff_date,previous_layoff_date,days_between_layoffs,total_laid_off
2TM,2022-09-01,2022-06-01,92,100
8x8,2023-01-18,2022-10-04,106,155
Affirm,2023-02-08,2022-11-03,97,500
Airbnb,2023-03-03,2020-05-05,1032,30
Airlift,2022-07-12,2022-05-25,48,NULL
Alice,2022-12-09,2022-07-11,151,113
Amazon,2022-11-16,2022-10-28,19,10000
Amazon,2023-01-04,2022-11-16,49,8000
Amount,2023-02-27,2022-06-27,245,130
Appgate,2023-02-01,2022-07-21,195,34
"Aqua Security",2022-12-05,2020-04-01,978,65
"Argo AI",2022-07-07,2020-06-29,738,150
"Argo AI",2022-10-26,2022-07-07,111,173
"Argo AI",2022-11-01,2022-10-26,6,259
Arrival,2023-01-30,2022-07-13,201,800
Astra,2022-11-08,2020-04-05,947,NULL
AvantStay,2022-11-09,2022-06-29,133,144
Balto,2022-12-12,2022-06-22,173,35
Better.com,2022-03-08,2021-12-01,97,3000
Betterfly,2023-01-18,2022-08-11,160,NULL
"Beyond Meat",2022-10-14,2022-08-03,72,200
Bird,2022-06-07,2020-03-27,802,138
BitMEX,2022-11-02,2022-04-04,212,NULL
Bitso,2022-11-29,2022-05-26,187,100
Bizzabo,2022-12-01,2022-07-05,149,100
Blend,2022-08-15,2022-04-19,118,220
Blend,2022-11-10,2022-08-15,87,100
Blend,2023-01-10,2022-11-10,61,340
Blockchain.com,2023-01-12,2022-07-21,175,110
BlockFi,2022-11-28,2022-06-13,168,NULL
Bolt,2023-01-24,2022-05-25,244,50
Bonsai,2022-06-20,2022-04-26,55,30
"Bossa Nova",2020-11-02,2020-06-29,126,NULL
Bounce,2020-06-29,2020-03-19,102,130
Bounce,2021-02-22,2020-06-29,238,200
Bounce,2023-01-06,2021-02-22,683,40
Brex,2022-10-11,2020-05-29,865,136
Brighte,2022-09-09,2022-06-20,81,58
"Built In",2022-10-05,2020-04-10,908,50
"Bustle Digital Group",2020-04-03,2020-04-03,0,19
"Bustle Digital Group",2023-02-01,2020-04-03,1034,NULL
"Butterfly Network",2023-01-04,2022-08-02,155,NULL
Byju's,2023-02-02,2022-10-12,113,1500
Bytedance,2021-08-05,2021-01-27,190,1800
Bytedance,2022-06-17,2021-08-05,316,150
ByteDance,2023-01-03,2022-06-17,200,NULL
Cameo,2022-11-09,2022-05-04,189,80
Capitolis,2022-11-18,2022-11-17,1,NULL
"Carbon Health",2023-01-06,2022-06-02,218,200
"Career Karma",2023-01-12,2022-07-28,168,22
Carta,2023-01-11,2020-04-15,1001,NULL
Carvana,2022-11-18,2022-05-10,192,1500
Cerebral,2023-02-27,2022-10-24,126,285
"Chipper Cash",2023-02-17,2022-12-06,73,100
ChowNow,2022-12-14,2022-07-13,154,40
Chrono24,2023-01-30,2022-12-08,53,65
Clari,2023-02-06,2022-08-31,159,20
"Clear Capital",2023-01-25,2022-10-14,103,250
Clearco,2022-07-29,2022-06-06,53,125
ClearCo,2023-01-16,2022-07-29,171,50
Clutch,2023-01-17,2022-06-29,202,150
Code42,2022-11-07,2020-04-09,942,NULL
Coinbase,2022-11-10,2022-06-14,149,60
Coinbase,2023-01-10,2022-11-10,61,950
CommonBond,2022-09-09,2022-05-13,119,NULL
Compass,2022-06-14,2020-03-23,813,450
Compass,2022-09-20,2022-06-14,98,271
ConsenSys,2023-01-10,2020-04-20,995,100
Convoy,2022-06-09,2020-04-23,777,90
Crypto.com,2022-10-06,2022-06-10,118,2000
Cue,2023-01-05,2022-06-27,192,388
Curefit,2020-07-17,2020-05-04,74,120
Cybereason,2022-10-26,2022-06-01,147,200
"Daily Harvest",2022-08-08,2022-02-10,179,NULL
"Dapper Labs",2023-02-23,2022-11-02,113,NULL
DataRobot,2022-05-11,2020-03-27,775,70
DataRobot,2022-08-23,2022-05-11,104,NULL
Deliveroo,2023-02-09,2020-04-28,1017,350
"Delivery Hero",2022-11-03,2021-12-22,316,100
"Delivery Hero",2023-01-30,2022-11-03,88,156
"Divvy Homes",2022-09-27,2020-03-25,916,40
DocuSign,2023-02-16,2022-09-28,141,680
Doma,2022-08-04,2022-05-10,86,250
Doma,2022-12-06,2022-08-04,124,515
Domio,2020-11-18,2020-03-31,232,NULL
EasyPost,2020-04-13,2020-03-11,33,50
