country,2020_layoffs,2021_layoffs,2022_layoffs,2023_layoffs,total_layoffs,yoy_2020_to_2021,yoy_2021_to_2022,yoy_2022_to_2023
"United States",50024,9470,105526,88132,253652,-81.07,1014.32,-16.48
India,12732,4080,14224,4757,35793,-67.95,248.63,-66.56
Netherlands,4600,0,5120,7500,17220,-100.00,NULL,46.48
Sweden,100,0,2064,9100,11264,-100.00,NULL,340.89
Brazil,3341,0,4879,2111,10331,-100.00,NULL,-56.73
Germany,531,387,3607,4103,8628,-27.12,832.04,13.75
"United Kingdom",1858,20,2349,2171,6398,-98.92,11645.00,-7.58
Canada,1211,45,3936,1127,6319,-96.28,8646.67,-71.37
Singapore,2361,21,3544,69,5995,-99.11,16776.19,-98.05
China,0,1800,2630,575,5005,NULL,46.11,-78.14
Israel,224,0,2734,680,3638,-100.00,NULL,-75.13
Indonesia,880,0,2281,360,3521,-100.00,NULL,-84.22
Australia,126,0,1088,1010,2224,-100.00,NULL,-7.17
Nigeria,391,0,1020,454,1865,-100.00,NULL,-55.49
