month,tot_layoff,rolling_total
2020-03,9298,9298
2020-04,26557,35855
2020-05,25783,61638
2020-06,7627,69265
2020-07,7112,76377
2020-08,1969,78346
2020-09,609,78955
2020-10,450,79405
2020-11,237,79642
2020-12,774,80416
2021-01,6813,87229
2021-02,868,88097
2021-03,47,88144
2021-04,261,88405
2021-06,2434,90839
2021-07,80,90919
2021-08,1867,92786
2021-09,161,92947
2021-10,22,92969
2021-11,2070,95039
2021-12,1200,96239
2022-01,510,96749
2022-02,3685,100434
2022-03,5714,106148
2022-04,4078,110226
2022-05,12885,123111
2022-06,17294,140405
2022-07,16171,156576
2022-08,13055,169631
2022-09,5881,175512
2022-10,17406,192918
2022-11,52662,245580
2022-12,10176,255756
2023-01,82349,338105
2023-02,36316,374421
2023-03,4420,378841
