industry,companies_impacted,total_industry_layoffs,avg_layoffs_per_impacted_company
Finance,195,26950,138
Healthcare,138,25901,188
Retail,127,43513,343
Marketing,107,10158,95
Food,90,22805,253
Transportation,90,33578,373
Other,85,35928,423
Consumer,81,45042,556
Crypto,67,10613,158
"Real Estate",65,17452,268
Media,62,5221,84
Education,60,13338,222
Data,56,5135,92
Security,50,5901,118
HR,46,2737,60
Travel,41,16733,408
Logistics,30,4026,134
Product,29,1233,43
Infrastructure,27,5693,211
Support,26,3523,136
Sales,25,13216,529
Recruiting,23,2775,121
Fitness,19,8698,458
Legal,10,836,84
Construction,9,3863,429
Energy,9,802,89
Hardware,9,12775,1419
Aerospace,3,661,220
Fin-Tech,3,215,72
Manufacturing,1,20,20
