company,industry,funds_raised_millions,total_laid_off,layoffs_per_million
Groupon,Retail,1400,2800,2.00
Carvana,Transportation,1600,2500,1.56
Katerra,Construction,1600,2434,1.52
Peloton,Fitness,1900,2800,1.47
Wayfair,Retail,1700,1750,1.03
"GoTo Group",Transportation,1300,1300,1.00
Carvana,Transportation,1600,1500,0.94
Instacart,Food,2400,1877,0.78
Swiggy,Food,1600,1100,0.69
Juul,Consumer,1500,900,0.60
Wayfair,Retail,1700,870,0.51
DoorDash,Food,2500,1250,0.50
Invitae,Healthcare,2000,1000,0.50
Swiggy,Food,1600,800,0.50
Reef,Transportation,1500,750,0.50
Cars24,Transportation,1300,600,0.46
Byju's,Education,5500,2500,0.45
Gopuff,Food,3400,1500,0.44
Stripe,Finance,2300,1000,0.43
Meta,Consumer,26000,11000,0.42
Gorillas,Food,1300,540,0.42
Peloton,Fitness,1900,784,0.41
Opendoor,"Real Estate",1500,600,0.40
"Magic Leap",Consumer,2600,1000,0.38
Cazoo,Transportation,2000,750,0.38
Ola,Transportation,3800,1400,0.37
Groupon,Retail,1400,500,0.36
Groupon,Retail,1400,500,0.36
WeDoctor,Healthcare,1400,500,0.36
Airbnb,Travel,5400,1900,0.35
Affirm,Finance,1500,500,0.33
Katerra,Construction,1300,400,0.31
Twitter,Consumer,12900,3700,0.29
Spotify,Media,2100,600,0.29
Opendoor,"Real Estate",1900,550,0.29
ShareChat,Consumer,1700,500,0.29
Compass,"Real Estate",1600,450,0.28
Byju's,Education,5500,1500,0.27
Flexport,Logistics,2400,640,0.27
Juul,Consumer,1500,400,0.27
Snap,Consumer,4900,1280,0.26
Peloton,Fitness,1900,500,0.26
Bytedance,Consumer,7400,1800,0.24
Deliveroo,Food,1500,367,0.24
Paytm,Finance,2200,500,0.23
Compass,"Real Estate",1600,375,0.23
Udaan,Retail,1500,350,0.23
Gorillas,Food,1300,300,0.23
Swiggy,Food,1600,350,0.22
OYO,Travel,2400,500,0.21
Deliveroo,Food,1700,350,0.21
Ola,Transportation,5000,1000,0.20
Lyft,Transportation,4900,982,0.20
Bytedance,Consumer,9400,1800,0.19
Klarna,Finance,3700,700,0.19
OYO,Travel,3200,600,0.19
Dropbox,Other,1700,315,0.19
AppLovin,Marketing,1600,300,0.19
Airtable,Product,1400,254,0.18
Bolt,Finance,1300,240,0.18
iFood,Food,2100,355,0.17
Compass,"Real Estate",1600,271,0.17
Lacework,Security,1900,300,0.16
Uber,Transportation,24700,3700,0.15
OYO,Travel,4000,600,0.15
OneWeb,Aerospace,3000,451,0.15
